Paises;Neoplasmas_malignos;Enfermedad_Alzheimer_y_otras_demencias;Miocardiopatia_miocarditis_endocarditis;Enfermedad_Pulmonar_Obstructiva_Cronica;Cirrosis_del_higado
Pakistan;0.52;0.08;0.01;0.25;0.14
Panama;0.67;0.05;0.05;0.17;0.06
Papua New Guinea;0.64;0.06;0.03;0.15;0.12
Paraguay;0.62;0.17;0.02;0.11;0.08
Peru;0.56;0.15;0.02;0.1;0.17
Philippines;0.64;0.01;0.03;0.25;0.07
Poland;0.79;0.02;0.03;0.12;0.05
Portugal;0.68;0.15;0.02;0.12;0.03
Qatar;0.67;0.13;0.03;0.04;0.12
Republic of Korea;0.73;0.11;0.01;0.09;0.06
Republic of Macedonia;0.49;0.01;0.4;0.08;0.02
Romania;0.7;0.03;0.06;0.1;0.12
Russian Federation;0.67;0.1;0.11;0.06;0.08
Rwanda;0.69;0.08;0.03;0.09;0.11
Saint Lucia;0.72;0.01;0.08;0.13;0.06
Saint Vincent and the Grenadines;0.83;0.03;0.03;0.09;0.03
Samoa;0.59;0.16;0.05;0.13;0.06
Sao Tome and Principe;0.45;0.07;0.02;0.21;0.25
Saudi Arabia;0.49;0.23;0.05;0.08;0.15
Senegal;0.53;0.11;0.03;0.16;0.17
Serbia;0.52;0.05;0.33;0.09;0.02
Seychelles;0.6;0.15;0.05;0.09;0.11
Sierra Leone;0.39;0.06;0.05;0.18;0.32
Singapore;0.89;0;0.02;0.06;0.02
Slovakia;0.73;0.12;0.02;0.06;0.08
Slovenia;0.8;0.02;0.04;0.07;0.07
Solomon Islands;0.63;0.09;0.04;0.19;0.06
South Africa;0.58;0.11;0.06;0.19;0.07
South Sudan;0.7;0.07;0.03;0.09;0.12
Spain;0.59;0.21;0.03;0.14;0.03
Sri Lanka;0.49;0.19;0.05;0.13;0.13
Sudan;0.52;0.14;0.04;0.16;0.14
Suriname;0.66;0.12;0.04;0.07;0.11
Swaziland;0.58;0.07;0.06;0.21;0.08
Sweden;0.61;0.25;0.02;0.11;0.02
Switzerland;0.61;0.24;0.03;0.1;0.02
Syria;0.67;0.18;0.02;0.07;0.06
Tajikistan;0.54;0.1;0.02;0.19;0.14
Thailand;0.52;0.22;0.03;0.15;0.09
Timor-Leste;0.67;0.11;0.03;0.12;0.07
Togo;0.51;0.08;0.04;0.16;0.21
Tonga;0.65;0.14;0.02;0.14;0.05
Trinidad and Tobago;0.78;0.05;0.03;0.09;0.05
Tunisia;0.46;0.31;0.03;0.12;0.08
Turkey;0.56;0.24;0.02;0.15;0.03
Turkmenistan;0.55;0.07;0.06;0.05;0.27
Uganda;0.69;0.06;0.03;0.09;0.13
Ukraine;0.66;0.13;0.03;0.08;0.1
United Arab Emirates;0.58;0.11;0.06;0.16;0.09
United Kingdom;0.56;0.28;0.01;0.13;0.03
United Republic of Tanzania;0.62;0.1;0.04;0.1;0.14
United States of America;0.54;0.22;0.03;0.17;0.04
Uruguay;0.7;0.12;0.03;0.15;0.02
Uzbekistan;0.59;0.02;0.02;0.08;0.3
Vanuatu;0.65;0.08;0.04;0.18;0.05
Venezuela;0.74;0.02;0.02;0.15;0.08
Vietnam;0.57;0.18;0.02;0.13;0.1
Yemen;0.49;0.16;0.04;0.2;0.11
Zambia;0.63;0.07;0.03;0.1;0.16
Zimbabwe;0.64;0.11;0.06;0.13;0.06
